,ds,yhat,yhat_lower,yhat_upper
82,2017-11-23,558.4881923547671,51.91463082211242,1062.5887655833983
83,2017-11-24,555.4939179742411,54.338149058482415,1030.0473093739754
84,2017-11-25,557.0614617394004,88.3113233825607,1034.0086795748323
85,2017-11-26,557.5821020770996,53.040875384678095,1040.0035009457981
86,2017-11-27,557.6713547993052,45.92628249391693,1036.5406372573127
87,2017-11-28,557.7202518313227,80.85001543375652,1017.822525510863
88,2017-11-29,557.1966043549521,45.49791843109061,1040.3902633082064
89,2017-11-30,557.3986415696488,72.51156866221004,1046.1619080006724
90,2017-12-01,554.6024274939246,91.67575471524208,1058.188858574883
91,2017-12-02,556.4103853406632,100.30461688701826,1020.1484782167411
92,2017-12-03,557.2151566087535,59.625917139427536,1030.884929944538
93,2017-12-04,557.6320197946484,65.24333429890129,1046.6340900084788
